                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 0.5573,                0.97214,                 0.8873,                 1.0123,                0.69964,                 0.6544,                0.68739,                 0.6193,                0.70126,                 0.6542,                0.68787,                0.60641,                   0.58,                 1.1524,                 1.1825,                  1.047,               0.001981,               0.001981,               0.001981
                     84,                0.55246,                0.95732,                0.87408,                 1.0127,                0.70807,                0.64376,                0.69071,                0.62206,                0.70889,                0.64486,                 0.6904,                0.60946,                0.57895,                 1.1507,                 1.1838,                  1.045,               0.001882,               0.001882,               0.001882
                     85,                0.55314,                0.95505,                0.87023,                   1.01,                0.68617,                0.65533,                0.68826,                0.61852,                0.69001,                0.65522,                0.68748,                 0.6062,                0.57802,                 1.1509,                 1.1825,                 1.0454,               0.001783,               0.001783,               0.001783
                     86,                 0.5484,                0.95684,                0.86697,                 1.0093,                0.68564,                 0.6535,                0.68946,                0.61999,                 0.6858,                0.65004,                0.68727,                 0.6081,                0.57926,                 1.1504,                 1.1811,                 1.0478,               0.001684,               0.001684,               0.001684
                     87,                 0.5464,                0.93618,                0.85588,                 1.0116,                0.70789,                0.63338,                0.68592,                0.61674,                0.70705,                0.63317,                0.68507,                0.60475,                0.57897,                 1.1489,                  1.181,                 1.0477,               0.001585,               0.001585,               0.001585
                     88,                0.54371,                0.94463,                0.85447,                  1.007,                0.71053,                0.63297,                0.68668,                0.61751,                0.70497,                0.63313,                0.68546,                0.60663,                0.57892,                 1.1506,                 1.1851,                 1.0489,               0.001486,               0.001486,               0.001486
                     89,                0.54348,                0.94354,                0.84855,                 1.0083,                0.69061,                0.64651,                0.68487,                 0.6166,                0.69002,                0.64625,                0.68452,                0.60649,                0.57787,                 1.1499,                 1.1926,                 1.0486,               0.001387,               0.001387,               0.001387
                     90,                0.54502,                0.94775,                0.84366,                 1.0069,                0.69343,                0.64479,                0.68371,                0.61508,                 0.6926,                 0.6443,                0.68398,                 0.6053,                0.57747,                 1.1514,                 1.1902,                 1.0479,               0.001288,               0.001288,               0.001288
                     91,                0.44534,                0.84978,                0.58017,                0.97684,                0.68846,                0.65168,                0.68513,                0.61392,                0.68394,                0.64972,                0.68212,                0.60409,                0.57981,                 1.1573,                 1.1897,                  1.051,               0.001189,               0.001189,               0.001189
                     92,                0.43324,                0.82527,                 0.5353,                0.96879,                0.67883,                0.65719,                0.68167,                0.61352,                0.67682,                0.65566,                0.68078,                0.60345,                0.58027,                   1.16,                 1.1919,                  1.051,                0.00109,                0.00109,                0.00109
                     93,                0.42751,                0.82079,                0.52834,                0.96429,                0.68969,                0.65671,                 0.6851,                0.61333,                0.68485,                0.65357,                0.68092,                0.60314,                0.57904,                 1.1644,                  1.194,                 1.0502,               0.000991,               0.000991,               0.000991
                     94,                0.42816,                0.82116,                0.51108,                0.96225,                0.68879,                0.64961,                0.68418,                0.61581,                0.68649,                0.64924,                 0.6833,                0.60494,                0.57855,                 1.1667,                 1.1957,                 1.0499,               0.000892,               0.000892,               0.000892
                     95,                0.42294,                0.81295,                0.49993,                0.96068,                0.68693,                0.65227,                0.68415,                0.61533,                0.68517,                0.65151,                0.68327,                0.60408,                 0.5802,                 1.1688,                 1.1968,                 1.0512,               0.000793,               0.000793,               0.000793
                     96,                 0.4197,                0.80758,                0.48907,                0.95734,                0.67925,                0.65093,                 0.6819,                0.61477,                0.67708,                0.65068,                0.68099,                 0.6033,                0.58133,                 1.1702,                 1.2006,                 1.0522,               0.000694,               0.000694,               0.000694
                     97,                0.41266,                0.80092,                0.47614,                0.95823,                0.69249,                0.64095,                 0.6814,                0.61451,                0.69145,                 0.6394,                0.68047,                0.60335,                 0.5814,                  1.171,                 1.2036,                 1.0526,               0.000595,               0.000595,               0.000595
                     98,                0.41232,                0.79848,                0.47201,                0.95605,                0.69735,                 0.6386,                0.68274,                0.61568,                0.69866,                0.63563,                0.68197,                0.60375,                0.58131,                  1.173,                 1.2045,                 1.0532,               0.000496,               0.000496,               0.000496
                     99,                0.41165,                0.79713,                0.46366,                0.95495,                0.68213,                0.66073,                0.68128,                0.61432,                0.68183,                 0.6578,                0.68061,                0.60199,                0.58032,                 1.1738,                 1.2048,                 1.0531,               0.000397,               0.000397,               0.000397
                    100,                0.40864,                0.79221,                0.46038,                0.94823,                0.68016,                  0.663,                0.67951,                0.61175,                0.67987,                0.66151,                0.67885,                0.60057,                0.58005,                 1.1772,                 1.2056,                 1.0535,               0.000298,               0.000298,               0.000298
